Index of Atoms,$\rho_s$,$\rho_p$,$\rho_d$,$\rho_\mathrm{tot}$
1,0.0050625,0.0035,-0.029,-0.0206875
2,0.0010625,-0.0005,-0.037,-0.0356875
3,6.25E-05,-0.0005,-0.026,-0.0276875
4,0.0050625,0.0035,-0.023,-0.0146875
5,0.0010625,-0.0005,-0.038,-0.0366875
6,0.0040625,0.0025,-0.024,-0.0166875
7,0.0060625,0.0035,-0.023,-0.0136875
8,-0.0029375,-0.0025,0.036,0.0303125
9,-0.0029375,-0.0025,0.034,0.0293125
10,0.0050625,0.0035,-0.029,-0.0206875
11,0.0050625,0.0035,-0.019,-0.0106875
12,-0.0039375,-0.0025,0.038,0.0313125
13,-0.0029375,-0.0025,0.034,0.0283125
14,-0.0109375,-0.0025,0.041,0.0283125
15,-0.0049375,-0.0035,0.034,0.0253125
16,-0.0039375,-0.0025,0.031,0.0243125
17,0.00075,-0.0015,-0.0006875,-0.00140625
18,-0.00025,0.0185,0.0063125,0.02459375
19,0.00075,-0.0035,-0.0006875,-0.00440625
20,-0.00125,-0.0365,-0.0166875,-0.05440625
21,0.00075,-0.0075,-0.0026875,-0.00940625
22,-0.00025,0.0285,0.0103125,0.03859375
23,-0.00125,0.0255,0.0093125,0.03459375
24,0.00075,-0.0065,-0.0016875,-0.00740625
25,-0.00025,-0.0235,-0.0076875,-0.03140625
26,-0.00025,0.0185,0.0063125,0.02559375
27,-0.00025,0.0265,0.0103125,0.03559375
28,-0.00025,0.0155,0.0053125,0.02059375
29,-0.00025,-0.0185,-0.0056875,-0.02440625
30,-0.00025,-0.0215,-0.0066875,-0.02840625
31,0.00075,-0.0105,-0.0036875,-0.01440625
32,7.50E-04,-0.0035,-0.0016875,-0.00440625
33,0.00075,-0.0035,-0.0016875,-0.00440625
34,0.00075,-0.0045,-0.0016875,-0.00640625
35,-0.00025,-0.0235,-0.0076875,-0.03040625
36,-0.00025,-0.0175,-0.0046875,-0.02240625
37,-0.00025,0.0185,0.0063125,0.02459375
38,-0.00125,0.0285,0.0113125,0.03859375
39,-0.00025,0.0185,0.0063125,0.02459375
40,-0.00025,-0.0235,-0.0076875,-0.03040625
41,0.00075,-0.0065,-0.0016875,-0.00740625
42,-0.00025,0.0285,0.0103125,0.03859375
43,-0.00025,0.0255,0.0093125,0.03459375
44,0.00075,-0.0085,-0.0036875,-0.01140625
45,-0.00125,-0.0355,-0.0166875,-0.05340625
46,0.00075,-0.0065,-0.0016875,-0.00840625
47,-0.00025,0.0145,0.0053125,0.01959375
48,0.00075,-0.0045,-0.0016875,-0.00540625
